open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1774454400000,70832.99000000,70897.00000000,70822.97000000,70862.74000000,44.22896000,1774454699999,3133867.96585950,13613,17.46209000,1237329.81692720,0
1774454700000,70862.75000000,70990.00000000,70719.26000000,70973.82000000,159.53123000,1774454999999,11300515.89061640,19046,94.02078000,6660327.08398730,0
1774455000000,70973.82000000,70973.82000000,70847.68000000,70874.45000000,51.64656000,1774455299999,3661774.00550230,12196,24.12122000,1710088.34551740,0
1774455300000,70874.44000000,70935.62000000,70832.00000000,70935.62000000,38.29943000,1774455599999,2714257.97259210,10318,17.11913000,1213475.45537000,0
1774455600000,70935.62000000,71075.13000000,70892.56000000,71075.13000000,39.67104000,1774455899999,2815505.94772440,14590,25.51077000,1810640.96491430,0
1774455900000,71075.19000000,71752.88000000,71075.19000000,71506.63000000,573.00989000,1774456199999,40923949.62636760,55721,373.62784000,26663478.58996840,0
1774456200000,71506.21000000,71533.29000000,71388.00000000,71422.51000000,130.75280000,1774456499999,9344831.51715140,25862,62.21005000,4445770.50540440,0
1774456500000,71422.51000000,71635.80000000,71393.58000000,71635.80000000,65.21233000,1774456799999,4662511.57682180,19207,43.11990000,3083203.53904170,0
1774456800000,71635.80000000,71635.80000000,71454.00000000,71467.51000000,48.60927000,1774457099999,3476865.56277820,12696,33.61488000,2404354.70367780,0
1774457100000,71467.51000000,71473.86000000,71301.75000000,71330.87000000,64.64430000,1774457399999,4612763.91946010,14006,30.33350000,2164298.22185110,0
1774457400000,71330.86000000,71416.88000000,71250.06000000,71392.41000000,45.28026000,1774457699999,3230128.39715690,16320,30.12577000,2149511.30948940,0
1774457700000,71392.41000000,71416.58000000,71290.00000000,71324.01000000,22.93721000,1774457999999,1636928.95760730,9178,13.26565000,946771.47173590,0
1774458000000,71324.01000000,71389.14000000,71268.29000000,71305.92000000,36.10193000,1774458299999,2574783.61500740,14808,17.71233000,1263225.45439960,0
1774458300000,71305.92000000,71305.92000000,71166.08000000,71193.03000000,39.79451000,1774458599999,2834345.67408790,13276,14.85523000,1058002.59689730,0
1774458600000,71193.03000000,71203.51000000,71101.70000000,71148.33000000,50.65545000,1774458899999,3604151.92589400,11744,24.99025000,1777847.84377960,0
1774458900000,71148.32000000,71148.33000000,70945.56000000,71026.32000000,53.38983000,1774459199999,3791294.57189050,15323,14.10490000,1001690.59582560,0
1774459200000,71026.32000000,71136.14000000,70998.50000000,71074.95000000,36.45871000,1774459499999,2591253.25580910,11243,18.95968000,1347558.93155180,0
1774459500000,71074.94000000,71202.00000000,71060.00000000,71077.88000000,146.48230000,1774459799999,10422889.27678250,13009,35.97070000,2558712.32065540,0
1774459800000,71077.89000000,71077.89000000,70963.77000000,71003.13000000,40.21842000,1774460099999,2855354.44426520,11985,17.59651000,1249148.59159300,0
1774460100000,71003.13000000,71030.27000000,70845.04000000,70888.51000000,53.76203000,1774460399999,3812582.62673910,14804,22.48944000,1594934.96626710,0
1774460400000,70888.51000000,71008.48000000,70869.43000000,70913.40000000,50.78313000,1774460699999,3602562.07500020,15197,30.48589000,2162822.52704680,0
1774460700000,70913.41000000,70977.43000000,70880.59000000,70892.74000000,29.64234000,1774460999999,2102338.21530520,11864,14.97303000,1061907.20132020,0
1774461000000,70892.74000000,70925.19000000,70755.89000000,70794.26000000,65.72352000,1774461299999,4655609.72396890,17936,33.98473000,2407465.57041700,0
1774461300000,70794.26000000,70843.07000000,70720.38000000,70779.00000000,59.97372000,1774461599999,4244256.63612550,16298,26.06699000,1844808.14834860,0
1774461600000,70778.99000000,70863.50000000,70748.75000000,70847.78000000,64.18076000,1774461899999,4543716.09017570,16205,31.68515000,2243328.64672290,0
1774461900000,70847.79000000,70944.00000000,70842.01000000,70866.05000000,49.31829000,1774462199999,3496612.20143330,14036,24.43165000,1732118.91212500,0
1774462200000,70866.05000000,70925.91000000,70864.67000000,70922.94000000,31.87777000,1774462499999,2260012.80488260,9333,17.88012000,1267647.14629160,0
1774462500000,70922.94000000,71064.88000000,70922.94000000,70991.45000000,53.15232000,1774462799999,3774410.21876320,15679,33.53934000,2381651.14215160,0
1774462800000,70991.46000000,71149.07000000,70989.65000000,71091.99000000,51.49525000,1774463099999,3661206.47993820,14161,33.27476000,2365740.27044830,0
1774463100000,71092.00000000,71092.00000000,70968.90000000,70974.43000000,26.60173000,1774463399999,1889748.57894990,9796,7.37882000,524301.44817740,0
1774463400000,70974.43000000,71012.94000000,70899.67000000,70921.17000000,30.15286000,1774463699999,2138850.46391720,10585,12.66792000,898490.48951240,0
1774463700000,70921.17000000,70947.61000000,70839.13000000,70866.12000000,66.58799000,1774463999999,4720216.71242400,8845,29.87460000,2117718.17411810,0
1774464000000,70866.12000000,70867.16000000,70789.96000000,70848.76000000,28.75169000,1774464299999,2035844.18116210,8062,11.14313000,788998.42053560,0
1774464300000,70848.76000000,70931.05000000,70842.86000000,70902.60000000,12.66126000,1774464599999,897663.46079250,6514,7.19599000,510094.58421010,0
